glyph_name,sort_final,USV
Eacute,139,00C9
Ecircumflex,140,00CA
Edieresis,141,00CB
Igrave,142,00CC
Iacute,143,00CD
Icircumflex,144,00CE
Idieresis,145,00CF
Eth,146,00D0
Ntilde,147,00D1
Ograve,148,00D2
Oacute,149,00D3
Ocircumflex,150,00D4
Otilde,151,00D5
Odieresis,152,00D6
multiply,153,00D7
Oslash,154,00D8
Ugrave,155,00D9
Uacute,156,00DA
Ucircumflex,157,00DB
Udieresis,158,00DC
Yacute,159,00DD
Thorn,160,00DE
germandbls,161,00DF
agrave,162,00E0
aacute,163,00E1
acircumflex,164,00E2
atilde,165,00E3
adieresis,166,00E4
aring,167,00E5
ae,168,00E6
ccedilla,169,00E7
egrave,170,00E8
eacute,171,00E9
ecircumflex,172,00EA
edieresis,173,00EB
igrave,174,00EC
iacute,175,00ED
icircumflex,176,00EE
idieresis,177,00EF
eth,178,00F0
ntilde,179,00F1
ograve,180,00F2
oacute,181,00F3
ocircumflex,182,00F4
otilde,183,00F5
odieresis,184,00F6
divide,185,00F7
oslash,186,00F8
ugrave,187,00F9
uacute,188,00FA
ucircumflex,189,00FB
udieresis,190,00FC
yacute,191,00FD
thorn,192,00FE
ydieresis,193,00FF
dotlessi,194,0131
OE,195,0152
oe,196,0153
Scaron,197,0160
scaron,198,0161
Ydieresis,199,0178
Zcaron,200,017D
zcaron,201,017E
florin,202,0192
circumflex,203,02C6
caron,204,02C7
uni02D0,205,02D0
breve,206,02D8
dotaccent,207,02D9
ring,208,02DA
ogonek,209,02DB
tilde,210,02DC
hungarumlaut,211,02DD
uni034F,212,034F
pi,213,03C0
u0E5B,214,0E5B
u1A20,215,1A20
u1A20.sub,216,
u1A21,217,1A21
u1A21.short,218,
u1A21.sub,219,
u1A22,220,1A22
u1A22.short,221,
u1A23,222,1A23
u1A23.sub,223,
u1A24,224,1A24
u1A25,225,1A25
u1A25.sub,226,
u1A26,227,1A26
u1A26.sub,228,
u1A27,229,1A27
u1A27.sub,230,
u1A28,231,1A28
u1A28.sub,232,
u1A29,233,1A29
u1A29.sub,234,
u1A2A,235,1A2A
u1A2B,236,1A2B
u1A2C,237,1A2C
u1A2C.sub,238,
u1A2D,239,1A2D
u1A2D.sub,240,
u1A2E,241,1A2E
u1A2E.sub,242,
u1A2F,243,1A2F
u1A2F.short,244,
u1A2F.sub,245,
u1A30,246,1A30
u1A30.sub,247,
u1A31,248,1A31
u1A31.sub,249,
u1A31_u1A2C,250,
u1A32,251,1A32
u1A32.sub,252,
u1A33,253,1A33
u1A33.sub,254,
u1A34,255,1A34
u1A34.sub,256,
u1A35,257,1A35
u1A35.sub,258,
u1A36,259,1A36
u1A36.short,260,
u1A36.sub,261,
u1A36.sub.short,262,
u1A36_u1A63,263,
u1A36_u1A63.short,264,
u1A37,265,1A37
u1A37.sub,266,
u1A38,267,1A38
u1A38.sub,268,
u1A38.sub.low,269,
u1A39,270,1A39
u1A39.sub,271,
u1A39.sub.low,272,
u1A3A,273,1A3A
u1A3B,274,1A3B
u1A3B.sub,275,
u1A3B_u1A5B,276,
u1A3C,277,1A3C
u1A3D,278,1A3D
u1A3D.sub,279,
u1A3E,280,1A3E
u1A3E.short,281,
u1A3E.sub,282,
u1A3E.sub.short,283,
u1A3E_u1A5B,284,
u1A3F,285,1A3F
u1A3F.sub,286,
u1A3F.sub.low,287,
u1A40,288,1A40
u1A41,289,1A41
u1A41.alt,290,
u1A41.sub,291,
u1A42,292,1A42
u1A43,293,1A43
u1A43.sub,294,
u1A43.sub.low,295,
u1A44,296,1A44
u1A45,297,1A45
u1A45.sub,298,
u1A45.sub.low,299,
u1A45_u1A3F.sub,300,
u1A46,301,1A46
u1A46.sub,302,
u1A47,303,1A47
u1A47.short,304,
u1A47.sub,305,
u1A47.sub.low,306,
u1A48,307,1A48
u1A48.sub,308,
u1A48.sub.low,309,
u1A48.sub_u1A45.sub,310,
u1A49,311,1A49
u1A49.sub,312,
u1A49_u1A36.sub,313,
u1A49_u1A36.sub_u1A45.sub,314,
u1A49_u1A3E.sub,315,
u1A4A,316,1A4A
u1A4B,317,1A4B
u1A4C,318,1A4C
u1A4D,319,1A4D
u1A4E,320,1A4E
u1A4F,321,1A4F
u1A50,322,1A50
u1A51,323,1A51
u1A52,324,1A52
u1A53,325,1A53
u1A54,326,1A54
u1A55,327,1A55
u1A55.tall,328,
u1A56,329,1A56
u1A57,330,1A57
u1A58,331,1A58
u1A59,332,1A59
u1A5A,333,1A5A
u1A5B,334,1A5B
u1A5C,335,1A5C
u1A5D,336,1A5D
u1A5E,337,1A5E
u1A60,338,1A60
u1A61,339,1A61
u1A62,340,1A62
u1A62.large,341,
u1A56_u1A6C,342,
u1A62_u1A76,343,
u1A63,344,1A63
u1A63_u1A74,345,
u1A64,346,1A64
u1A65,347,1A65
u1A66,348,1A66
u1A67,349,1A67
u1A68,350,1A68
u1A69,351,1A69
u1A69.low,352,
u1A6A,353,1A6A
u1A6A.low,354,
u1A6A_u1A36.sub,355,
u1A6A_u1A3E.sub,356,
u1A6B,357,1A6B
u1A6C,358,1A6C
u1A6C.low,359,
u1A6C_u1A36.sub,360,
u1A6C_u1A38.sub,361,
u1A6C_u1A3E.sub,362,
u1A6C_u1A3F.sub,363,
u1A6D,364,1A6D
u1A6E,365,1A6E
u1A6F,366,1A6F
u1A70,367,1A70
u1A70.thin,368,
u1A71,369,1A71
u1A71.thin,370,
u1A72,371,1A72
u1A72.thin,372,
u1A73,373,1A73
u1A74,374,1A74
u1A74.high,375,
u1A74_u1A76,376,
u1A75,377,1A75
u1A75.high,378,
u1A76,379,1A76
u1A76.high,380,
u1A77,381,1A77
u1A78,382,1A78
u1A7A,383,1A7A
u1A7A.high,384,
u1A7B,385,1A7B
u1A7C,386,1A7C
u1A7F,387,1A7F
u1A80,388,1A80
u1A81,389,1A81
u1A82,390,1A82
u1A83,391,1A83
u1A84,392,1A84
u1A85,393,1A85
u1A86,394,1A86
u1A87,395,1A87
u1A88,396,1A88
u1A89,397,1A89
u1A8E,398,1A8E
u1A8F,399,1A8F
u1A90,400,1A90
u1A91,401,1A91
u1A92,402,1A92
u1A93,403,1A93
u1A94,404,1A94
u1A95,405,1A95
u1A96,406,1A96
u1A97,407,1A97
u1A98,408,1A98
u1A99,409,1A99
u1AA0,410,1AA0
u1AA1,411,1AA1
u1AA2,412,1AA2
u1AA3,413,1AA3
u1AA4,414,1AA4
u1AA5,415,1AA5
u1AA6,416,1AA6
u1AA7,417,1AA7
u1AA8,418,1AA8
u1AA9,419,1AA9
u1AAA,420,1AAA
u1AAB,421,1AAB
u1AAC,422,1AAC
u1AAD,423,1AAD
uni2000,424,2000
uni2001,425,2001
uni2002,426,2002
uni2003,427,2003
uni2004,428,2004
uni2005,429,2005
uni2006,430,2006
uni2007,431,2007
uni2008,432,2008
uni2009,433,2009
uni200A,434,200A
u200B,435,200B
uni200C,436,200C
uni200D,437,200D
uni2010,438,2010
uni2011,439,2011
figuredash,440,2012
endash,441,2013
emdash,442,2014
uni2015,443,2015
quoteleft,444,2018
quoteright,445,2019
quotesinglbase,446,201A
quotedblleft,447,201C
quotedblright,448,201D
quotedblbase,449,201E
dagger,450,2020
daggerdbl,451,2021
bullet,452,2022
ellipsis,453,2026
uni2027,454,2027
uni2028,455,2028
uni2029,456,2029
uni202F,457,202F
perthousand,458,2030
guilsinglleft,459,2039
guilsinglright,460,203A
fraction,461,2044
uni2060,462,2060
Euro,463,20AC
trademark,464,2122
Omega,465,2126
partialdiff,466,2202
Delta,467,2206
product,468,220F
summation,469,2211
uni2219,470,2219
radical,471,221A
infinity,472,221E
integral,473,222B
approxequal,474,2248
notequal,475,2260
lessequal,476,2264
greaterequal,477,2265
lozenge,478,25CA
dottedcircle,479,25CC
uniFB01,480,FB01
uniFB02,481,FB02
uniFE00,482,FE00
uniFE01,483,FE01
uniFE02,484,FE02
uniFE03,485,FE03
uniFE04,486,FE04
uniFE05,487,FE05
uniFE06,488,FE06
uniFE07,489,FE07
uniFE08,490,FE08
uniFE09,491,FE09
uniFE0A,492,FE0A
uniFE0B,493,FE0B
uniFE0C,494,FE0C
uniFE0D,495,FE0D
uniFE0E,496,FE0E
uniFE0F,497,FE0F
uniFEFF,498,FEFF
uniFFFC,499,FFFC
uniFFFD,500,FFFD
CombAcute,501,
CombAcute.LP,502,
CombCaron,503,
CombCaron.LP,504,
CombCedilla,505,
CombCircum,506,
CombCircum.LP,507,
CombDiaer,508,
CombDiaer.LP,509,
CombGrave,510,
CombGrave.LP,511,
CombRingAbv,512,
CombTilde,513,
CombTilde.LP,514,
GrCapOmega,515,
GrCapPi,516,
LtnCapEsh,517,
